model,model_type,checkpoint,step,tokens,binom_alpha,total_training_occurrences,relfreq,prompt,binom,alpha_logprob,nonalpha_logprob,preference
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,abashed and sorry,0,, ,abashed and sorry,-21.8125,-21.65625,-0.15625
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,abbots and acolytes,0,, ,abbots and acolytes,-56.5625,-62.09375,5.53125
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,abysses and puddles,0,, ,abysses and puddles,-51.8125,-49.8125,-2.0
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,acorns and boulders,0,, ,acorns and boulders,-45.4375,-46.0,0.5625
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,acorns and goblets,0,, ,acorns and goblets,-43.0625,-45.9375,2.875
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,acorns and lions,0,, ,acorns and lions,-35.3125,-37.59375,2.28125
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,acorns and tigers,0,, ,acorns and tigers,-37.5,-36.8125,-0.6875
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,acorns and valleys,0,, ,acorns and valleys,-52.75,-55.03125,2.28125
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,actresses and lumberjacks,0,, ,actresses and lumberjacks,-48.8125,-50.1875,1.375
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,admirals and deckhands,0,, ,admirals and deckhands,-43.78125,-42.78125,-1.0
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,admirals and flowers,0,, ,admirals and flowers,-23.3125,-23.75,0.4375
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,admirals and knitting,0,, ,admirals and knitting,-34.875,-34.90625,0.03125
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,admirals and paupers,0,, ,admirals and paupers,-39.71875,-41.0625,1.34375
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,admirals and ribbons,0,, ,admirals and ribbons,-42.78125,-41.96875,-0.8125
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-38,38,38912000,admirals and weavers,0,, ,admirals and weavers,-38.09375,-41.46875,3.375
