model,model_type,checkpoint,step,tokens,binom_alpha,total_training_occurrences,relfreq,prompt,binom,alpha_logprob,nonalpha_logprob,preference
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,abashed and sorry,0,, ,abashed and sorry,-21.875,-21.84375,-0.03125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,abbots and acolytes,0,, ,abbots and acolytes,-50.71875,-56.5625,5.84375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,abysses and puddles,0,, ,abysses and puddles,-48.375,-44.625,-3.75
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,acorns and boulders,0,, ,acorns and boulders,-41.5625,-45.96875,4.40625
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,acorns and goblets,0,, ,acorns and goblets,-41.4375,-45.4375,4.0
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,acorns and lions,0,, ,acorns and lions,-32.21875,-35.875,3.65625
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,acorns and tigers,0,, ,acorns and tigers,-34.96875,-34.84375,-0.125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,acorns and valleys,0,, ,acorns and valleys,-47.3125,-51.90625,4.59375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,actresses and lumberjacks,0,, ,actresses and lumberjacks,-46.46875,-49.03125,2.5625
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,admirals and deckhands,0,, ,admirals and deckhands,-38.59375,-38.78125,0.1875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,admirals and flowers,0,, ,admirals and flowers,-21.546875,-22.375,0.828125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,admirals and knitting,0,, ,admirals and knitting,-31.234375,-32.4375,1.203125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,admirals and paupers,0,, ,admirals and paupers,-36.375,-40.21875,3.84375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,admirals and ribbons,0,, ,admirals and ribbons,-36.8125,-39.90625,3.09375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,admirals and weavers,0,, ,admirals and weavers,-34.125,-38.8125,4.6875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,allergic and unaccustomed,0,, ,allergic and unaccustomed,-63.40625,-59.84375,-3.5625
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,amber and gravel,0,, ,amber and gravel,-31.171875,-30.25,-0.921875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-144,144,117964800,amethysts and pebbles,0,, ,amethysts and pebbles,-57.0,-57.0625,0.0625
